participant_id,empatica_bvp,empatica_bvp_time,empatica_eda,empatica_eda_time,empatica_temp,empatica_temp_time,samsung_bvp,samsung_bvp_time,CL
3,0.36,1644481153.3125,,,,,,,1
3,0.66,1644481153.328125,,,,,,,1
3,1.01,1644481153.34375,,,,,,,1
3,1.37,1644481153.359375,,,,,,,1
3,1.72,1644481153.375,,,,,,,1
3,2.06,1644481153.390625,,,,,,,1
3,2.4,1644481153.40625,,,,,,,1
3,2.79,1644481153.421875,,,,,,,1
3,3.24,1644481153.4375,,,,,,,1
3,3.8,1644481153.453125,,,,,,,1
3,4.42,1644481153.46875,,,,,,,1
3,5.06,1644481153.484375,,,,,,,1
3,5.66,1644481153.5,,,,,,,1
3,6.2,1644481153.515625,,,,,,,1
3,6.68,1644481153.53125,,,,,,,1
3,7.15,1644481153.546875,,,,,,,1
3,7.68,1644481153.5625,,,,,,,1
3,8.31,1644481153.578125,,,,,,,1
3,9.14,1644481153.59375,,,,,,,1
3,10.09,1644481153.609375,,,,,,,1
3,11.04,1644481153.625,,,,,,,1
3,11.88,1644481153.640625,,,,,,,1
3,12.56,1644481153.65625,,,,,,,1
3,13.14,1644481153.671875,,,,,,,1
3,13.76,1644481153.6875,,,,,,,1
3,14.65,1644481153.703125,,,,,,,1
3,15.96,1644481153.71875,,,,,,,1
3,17.91,1644481153.734375,,,,,,,1
3,20.32,1644481153.75,,,,,,,1
3,22.9,1644481153.765625,,,,,,,1
3,25.38,1644481153.78125,,,,,,,1
3,27.58,1644481153.796875,,,,,,,1
3,29.57,1644481153.8125,,,,,,,1
3,31.68,1644481153.828125,,,,,,,1
3,34.32,1644481153.84375,,,,,,,1
3,37.81,1644481153.859375,,,,,,,1
3,42.54,1644481153.875,,,,,,,1
3,48.15,1644481153.890625,,,,,,,1
3,54.1,1644481153.90625,,,,,,,1
3,59.83,1644481153.921875,,,,,,,1
3,64.97,1644481153.9375,,,,,,,1
3,69.58,1644481153.953125,,,,,,,1
3,74.14,1644481153.96875,,,,,,,1
3,79.34,1644481153.984375,,,,,,,1
3,85.71,1644481154.0,,,,,,,1
3,93.76,1644481154.015625,,,,,,,1
3,103.0,1644481154.03125,,,,,,,1
3,112.62,1644481154.046875,,,,,,,1
3,121.73,1644481154.0625,,,,,,,1
3,129.77,1644481154.078125,,,,,,,1
3,136.75,1644481154.09375,,,,,,,1
3,143.3,1644481154.109375,,,,,,,1
3,150.75,1644481154.125,,,,,,,1
3,157.77,1644481154.140625,,,,,,,1
3,166.64,1644481154.15625,,,,,,,1
