Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
374,0,0.6312156078,0.2190104955,0.7272727273,0.3393130238,1
375,0,0.5548405782,0.219893797,0.7272727273,0.3421744987,1
376,0,0.6165556462,0.2216603999,0.7329545455,0.3085007347,1
377,0,0.5650456807,0.2207770984,0.7329545455,0.300996843,1
378,0,0.5879834654,0.2225437014,0.7215909091,0.3025731903,1
379,0,0.5945551723,0.2243103043,0.7215909091,0.301598089,1
380,0,0.5409652195,0.2251929162,0.7215909091,0.3036337768,1
381,0,0.5830652168,0.2207770984,0.7215909091,0.2995874769,1
382,0,0.5848292567,0.2216603999,0.7215909091,0.2976640597,1
383,0,0.6176667281,0.219893797,0.7272727273,0.2978036855,1
384,0,0.6115004871,0.2190104955,0.7272727273,0.294997491,1
385,0,0.5990363603,0.2190104955,0.7272727273,0.2577555744,1
386,0,0.6142492299,0.2190104955,0.7329545455,0.2555853899,1
387,0,0.5769832285,0.219893797,0.7386363636,0.2599571035,1
388,0,0.6838682499,0.2190104955,0.7386363636,0.2656156545,1
389,0,0.6491298281,0.2181278836,0.7329545455,0.2686788745,1
390,0,0.5187330507,0.2190104955,0.7329545455,0.2689900407,1
391,0,0.5669466312,0.2207770984,0.7329545455,0.2673857683,1
392,0,0.6315947447,0.2181278836,0.7329545455,0.2696072439,1
393,0,0.5862141597,0.2163612806,0.7329545455,0.2775767451,1
394,0,0.5794686817,0.2172445821,0.7443181818,0.2809146576,1
395,0,0.5901529712,0.2172445821,0.7443181818,0.260537833,1
396,0,0.5704273189,0.2163612806,0.7443181818,0.2597399711,1
397,0,0.5853453042,0.2163612806,0.7386363636,0.2767532375,1
398,0,0.6210315684,0.2119447733,0.7386363636,0.2782771539,1
399,0,0.6144387983,0.2119447733,0.7386363636,0.2792767609,1
400,0,0.6346436376,0.208412257,0.7386363636,0.2741641755,1
401,0,0.6246754956,0.2031131377,0.7443181818,0.2696847505,1
402,0,0.5285221558,0.2057623526,0.7443181818,0.2660664465,1
403,0,0.6149074537,0.2048797407,0.7443181818,0.2678029361,1
404,0,0.6152339328,0.2057623526,0.7443181818,0.260237495,1
405,0,0.5970564229,0.2004632334,0.7386363636,0.27922433,1
406,0,0.567178326,0.2022298363,0.7386363636,0.2778958898,1
407,0,0.6042336958,0.1960474156,0.7443181818,0.2637418187,1
408,0,0.6231484163,0.196930717,0.7329545455,0.269427725,1
409,0,0.5108764909,0.1978140185,0.7443181818,0.2767047959,1
410,0,0.5860719834,0.196930717,0.7443181818,0.2804598762,1
411,0,0.5818330218,0.1951641141,0.7386363636,0.2812925022,1
412,0,0.62300624,0.1960474156,0.7443181818,0.2834809235,1
413,0,0.5690002896,0.1925142097,0.7443181818,0.269936077,1
414,0,0.5954240278,0.1925142097,0.7443181818,0.2750999536,1
415,0,0.5870830152,0.1872150905,0.7443181818,0.2640712217,1
416,0,0.6085200495,0.1854484875,0.7471590909,0.2740775505,1
417,0,0.4681445986,0.1889816934,0.7443181818,0.2827542993,1
418,0,0.608583239,0.1880983919,0.7443181818,0.2869014717,1
419,0,0.5657302335,0.1889816934,0.7386363636,0.2956602863,1
420,0,0.5272741634,0.1916309082,0.7443181818,0.2676148686,1
421,0,0.6642531792,0.1933975112,0.7443181818,0.2803641328,1
422,0,0.6189041889,0.1933975112,0.7443181818,0.2803812298,1
423,0,0.5572891709,0.1925142097,0.7471590909,0.284848117,1
424,0,0.6185829757,0.1916309082,0.7443181818,0.2740718515,1
425,0,0.5932966483,0.1933975112,0.7443181818,0.2749443705,1
426,0,0.6072351965,0.1907482963,0.7443181818,0.2629285694,1
427,0,0.6172612622,0.1933975112,0.7471590909,0.2584616823,1
428,0,0.558142229,0.1907482963,0.7471590909,0.2590201856,1
429,0,0.6521207972,0.1898649949,0.7471590909,0.2549271538,1
430,0,0.5131407809,0.1925142097,0.7471590909,0.2575145061,1
431,0,0.6826360549,0.1907482963,0.7471590909,0.2582149149,1
432,0,0.6311945446,0.1916309082,0.7386363636,0.2548997985,1
433,0,0.6225955083,0.1925142097,0.7386363636,0.2455853301,1
434,0,0.6845791317,0.1916309082,0.7386363636,0.2468009297,1
435,0,0.694563071,0.1933975112,0.7443181818,0.2542979826,1
436,0,0.5923277428,0.1951641141,0.7443181818,0.2521585728,1
437,0,0.6116689924,0.1951641141,0.7386363636,0.2541988198,1
438,0,0.6065401122,0.1960474156,0.7386363636,0.2438562492,1
439,0,0.638182249,0.1951641141,0.7443181818,0.2578644256,1
440,0,0.5683315342,0.1942808126,0.7443181818,0.2638974018,1
441,0,0.5181801427,0.1925142097,0.7443181818,0.2624886055,1
442,0,0.6291830126,0.1933975112,0.7443181818,0.2646183271,1
443,0,0.5469208288,0.1916309082,0.7386363636,0.2389750437,1
444,0,0.5954292936,0.1898649949,0.7386363636,0.2432344868,1
445,0,0.6091993365,0.1845658756,0.7386363636,0.2306083213,1
446,0,0.6399094284,0.186331789,0.7386363636,0.2320131282,1
447,0,0.6469813854,0.1827992727,0.7443181818,0.2282232839,1
448,0,0.5222348016,0.1801493683,0.7443181818,0.2172270365,1
449,0,0.6447223612,0.1801493683,0.7386363636,0.2164508308,1
450,0,0.5969089808,0.1827992727,0.7386363636,0.2448125438,1
451,0,0.5719491325,0.1819159712,0.7386363636,0.2483618897,1
452,0,0.5328769648,0.1810326697,0.7386363636,0.2486217647,1
453,0,0.6224428003,0.1801493683,0.7329545455,0.2582736148,1
454,0,0.5975145467,0.1783827653,0.7329545455,0.2740393671,1
455,0,0.5528343119,0.1757335505,0.7386363636,0.2805180062,1
456,0,0.6171085543,0.174850249,0.7329545455,0.2915735234,1
457,0,0.5931913325,0.1704344312,0.7329545455,0.2897247633,1
458,0,0.6529527922,0.1704344312,0.7329545455,0.2982692949,1
459,0,0.6483557568,0.1713177327,0.7272727273,0.2977791797,1
460,0,0.5526289461,0.1730836461,0.7272727273,0.3022637338,1
461,0,0.6259234881,0.1722003446,0.7386363636,0.3078829616,1
462,0,0.6343276902,0.1713177327,0.7386363636,0.3075723654,1
463,0,0.6290776967,0.1739669476,0.7329545455,0.3128348349,1
464,0,0.5678049551,0.1757335505,0.7272727273,0.315851323,1
465,0,0.5954766857,0.174850249,0.7272727273,0.3130023859,1
466,0,0.5442826676,0.1757335505,0.7272727273,0.3135306845,1
467,0,0.5155209184,0.1757335505,0.7329545455,0.3127675865,1
468,0,0.4957268108,0.1730836461,0.7329545455,0.3116380419,1
469,0,0.6319580843,0.1704344312,0.7272727273,0.3090700662,1
470,0,0.5553460941,0.1730836461,0.7329545455,0.2931612687,1
471,0,0.579537137,0.1722003446,0.7272727273,0.2871282925,1
472,0,0.5759090071,0.1704344312,0.7215909091,0.2822715928,1
473,0,0.571433085,0.1739669476,0.7215909091,0.2735857256,1
474,0,0.6495300282,0.1704344312,0.7272727273,0.2790396819,1
475,0,0.6033648403,0.1686678283,0.7272727273,0.2806052011,1
476,0,0.4987177799,0.1713177327,0.7272727273,0.2822026347,1
477,0,0.57679366,0.1677845268,0.7215909091,0.2671766144,1
478,0,0.5592533109,0.1730836461,0.7215909091,0.2763298008,1
479,0,0.5872515205,0.1651346225,0.7159090909,0.2593256528,1
480,0,0.6928938153,0.1669012254,0.7159090909,0.2733503563,1
481,0,0.635438772,0.1624854076,0.7215909091,0.2879096273,1
482,0,0.6033174482,0.1633687091,0.7215909091,0.2907602741,1
483,0,0.5459413917,0.1607188047,0.7215909091,0.2792283193,1
484,0,0.6452647376,0.1616021061,0.7215909091,0.2842782156,1
485,0,0.6006266291,0.1589522017,0.7159090909,0.2810520038,1
