ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,time,CL
5.0,-14.361428571428572,0.040993,32.39,,1660301143.303125,1.0
5.0,-25.75,,,,1660301143.403125,1.0
5.0,-53.271428571428565,0.044836,32.39,,1660301143.503125,1.0
5.0,-113.23,,,,1660301143.603125,1.0
5.0,-204.20666666666662,,,,1660301143.703125,1.0
5.0,-336.91285714285715,0.044836,32.39,,1660301143.803125,1.0
5.0,-422.9966666666666,,,,1660301143.903125,1.0
5.0,-297.5314285714286,0.043555,32.39,,1660301144.003125,1.0
5.0,-214.12,,,,1660301144.103125,1.0
5.0,-115.91000000000001,,,,1660301144.203125,1.0
5.0,53.74142857142857,0.042274,32.41,,1660301144.303125,1.0
5.0,265.32166666666666,,,,1660301144.403125,1.0
5.0,453.4585714285714,0.042274,32.41,,1660301144.503125,1.0
5.0,621.66,,,,1660301144.603125,1.0
5.0,280.33,,,,1660301144.703125,1.0
5.0,71.91142857142857,0.042274,32.41,,1660301144.803125,1.0
5.0,-92.45666666666666,,,,1660301144.903125,1.0
5.0,-59.43,0.046117,32.41,,1660301145.003125,1.0
5.0,88.13666666666666,,,,1660301145.103125,1.0
5.0,178.79,,,,1660301145.203125,1.0
5.0,107.43285714285715,0.046117,32.31,,1660301145.303125,1.0
5.0,52.605,,,,1660301145.403125,1.0
5.0,32.635714285714286,0.046117,32.31,,1660301145.503125,1.0
5.0,15.036666666666667,,,,1660301145.603125,1.0
5.0,3.1833333333333336,,,,1660301145.703125,1.0
5.0,-5.654285714285714,0.044836,32.31,,1660301145.803125,1.0
5.0,-5.161666666666666,,,,1660301145.903125,1.0
5.0,-8.932857142857143,0.044836,32.31,,1660301146.003125,1.0
5.0,-24.17833333333333,,,,1660301146.103125,1.0
5.0,-19.433333333333334,,,,1660301146.203125,1.0
5.0,-6.707142857142857,0.042274,32.33,,1660301146.303125,1.0
5.0,-2.8966666666666665,,,,1660301146.403125,1.0
5.0,-6.895714285714285,0.044836,32.33,,1660301146.503125,1.0
5.0,-17.511666666666667,,,,1660301146.603125,1.0
5.0,-38.401666666666664,,,,1660301146.703125,1.0
5.0,-76.11,0.046117,32.33,,1660301146.803125,1.0
5.0,-117.85333333333335,,,,1660301146.903125,1.0
5.0,-139.92714285714285,0.048679,32.33,,1660301147.003125,1.0
5.0,-82.55,,,,1660301147.103125,1.0
5.0,105.04333333333334,,,,1660301147.203125,1.0
5.0,281.0557142857143,0.051241,32.33,,1660301147.303125,1.0
5.0,181.30499999999998,,,,1660301147.403125,1.0
5.0,44.191428571428574,0.04996,32.33,,1660301147.503125,1.0
5.0,-20.718333333333334,,,,1660301147.603125,1.0
5.0,-5.355,,,,1660301147.703125,1.0
5.0,5.5200000000000005,0.051241,32.33,,1660301147.803125,1.0
5.0,-10.72,,,,1660301147.903125,1.0
5.0,-0.3771428571428572,0.04996,32.33,,1660301148.003125,1.0
5.0,-12.878333333333332,,,,1660301148.103125,1.0
5.0,-15.311666666666666,,,,1660301148.203125,1.0
5.0,-12.64,0.048679,32.33,,1660301148.303125,1.0
5.0,10.691666666666668,,,,1660301148.403125,1.0
5.0,21.071428571428573,0.047398,32.33,,1660301148.503125,1.0
5.0,13.888333333333334,,,,1660301148.603125,1.0
5.0,8.751666666666667,,,,1660301148.703125,1.0
5.0,-13.612857142857141,0.048679,32.33,,1660301148.803125,1.0
5.0,-15.318333333333335,,,,1660301148.903125,1.0
5.0,-19.687142857142856,0.051241,32.33,,1660301149.003125,1.0
5.0,-3.545,,,,1660301149.103125,1.0
5.0,2.266666666666667,,,,1660301149.203125,1.0
5.0,-2.4057142857142857,0.051241,32.34,,1660301149.303125,1.0
5.0,-1.4733333333333334,,,,1660301149.403125,1.0
5.0,-5.077142857142857,0.051241,32.34,,1660301149.503125,1.0
5.0,-13.101666666666665,,,,1660301149.603125,1.0
5.0,-25.834999999999997,,,,1660301149.703125,1.0
5.0,-46.23571428571428,0.051241,32.34,,1660301149.803125,1.0
5.0,-69.20666666666666,,,,1660301149.903125,1.0
5.0,-91.52285714285713,0.04996,32.34,,1660301150.003125,1.0
5.0,59.78333333333333,,,,1660301150.103125,1.0
5.0,173.605,,,,1660301150.203125,1.0
5.0,135.04428571428573,0.047398,32.34,,1660301150.303125,1.0
5.0,48.98666666666668,,,,1660301150.403125,1.0
5.0,3.2742857142857145,0.048679,32.34,,1660301150.503125,1.0
5.0,-29.276666666666667,,,,1660301150.603125,1.0
5.0,-14.889999999999999,,,,1660301150.703125,1.0
5.0,-0.5357142857142857,0.048679,32.34,,1660301150.803125,1.0
5.0,-0.45333333333333337,,,,1660301150.903125,1.0
5.0,-4.474285714285714,0.051241,32.34,,1660301151.003125,1.0
5.0,-17.228333333333335,,,,1660301151.103125,1.0
5.0,-12.838333333333333,,,,1660301151.203125,1.0
5.0,-6.121428571428572,0.051241,32.34,,1660301151.303125,1.0
5.0,-11.709999999999999,,,,1660301151.403125,1.0
5.0,-25.56142857142857,0.051241,32.34,,1660301151.503125,1.0
5.0,-48.254999999999995,,,,1660301151.603125,1.0
5.0,-88.71166666666666,,,,1660301151.703125,1.0
5.0,-141.16,0.048679,32.34,,1660301151.803125,1.0
5.0,-186.74333333333334,,,,1660301151.903125,1.0
5.0,-245.2942857142857,0.04996,32.34,,1660301152.003125,1.0
5.0,-183.48666666666665,,,,1660301152.103125,1.0
5.0,17.76833333333333,,,,1660301152.203125,1.0
5.0,45.87571428571429,0.048679,32.34,,1660301152.303125,1.0
5.0,45.86166666666667,,,,1660301152.403125,1.0
5.0,97.47999999999999,0.048679,32.34,,1660301152.503125,1.0
5.0,154.39833333333334,,,,1660301152.603125,1.0
5.0,193.80999999999997,,,,1660301152.703125,1.0
5.0,204.41428571428574,0.048679,32.34,,1660301152.803125,1.0
5.0,135.65,,,,1660301152.903125,1.0
5.0,49.99571428571429,0.051241,32.34,,1660301153.003125,1.0
5.0,45.00833333333333,,,,1660301153.103125,1.0
5.0,-18.76,,,,1660301153.203125,1.0
5.0,-25.264285714285716,0.052522,32.34,,1660301153.303125,1.0
5.0,-35.050000000000004,,,,1660301153.403125,1.0
5.0,-49.42285714285714,0.052522,32.34,,1660301153.503125,1.0
5.0,-24.081666666666667,,,,1660301153.603125,1.0
5.0,32.028333333333336,,,,1660301153.703125,1.0
5.0,36.465714285714284,0.051241,32.34,,1660301153.803125,1.0
5.0,31.615,,,,1660301153.903125,1.0
5.0,89.61571428571428,0.048679,32.34,,1660301154.003125,1.0
5.0,160.07666666666668,,,,1660301154.103125,1.0
5.0,66.93833333333335,,,,1660301154.203125,1.0
5.0,31.958571428571425,0.046117,32.37,,1660301154.303125,1.0
5.0,18.569999999999997,,,,1660301154.403125,1.0
5.0,-16.21857142857143,0.048679,32.37,,1660301154.503125,1.0
5.0,-60.98666666666666,,,,1660301154.603125,1.0
5.0,-64.34166666666665,,,,1660301154.703125,1.0
5.0,-54.96,0.051241,32.37,,1660301154.803125,1.0
5.0,-48.87,,,,1660301154.903125,1.0
5.0,-36.082857142857144,0.052522,32.37,,1660301155.003125,1.0
5.0,-2.5449999999999995,,,,1660301155.103125,1.0
5.0,-6.151666666666666,,,,1660301155.203125,1.0
5.0,-35.07857142857143,0.052522,32.34,,1660301155.303125,1.0
5.0,-32.291666666666664,,,,1660301155.403125,1.0
5.0,-12.648571428571428,0.051241,32.34,,1660301155.503125,1.0
5.0,14.288333333333334,,,,1660301155.603125,1.0
5.0,18.368333333333336,,,,1660301155.703125,1.0
5.0,11.731428571428571,0.04996,32.34,,1660301155.803125,1.0
5.0,-3.7383333333333333,,,,1660301155.903125,1.0
5.0,-27.384285714285713,0.047398,32.34,,1660301156.003125,1.0
5.0,-18.64333333333333,,,,1660301156.103125,1.0
5.0,-11.536666666666667,,,,1660301156.203125,1.0
5.0,-4.147142857142858,0.047398,32.33,,1660301156.303125,1.0
5.0,1.8266666666666669,,,,1660301156.403125,1.0
5.0,4.945714285714287,0.047398,32.33,,1660301156.503125,1.0
5.0,-0.9716666666666667,,,,1660301156.603125,1.0
5.0,-15.923333333333332,,,,1660301156.703125,1.0
5.0,-4.909999999999999,0.04996,32.33,,1660301156.803125,1.0
5.0,17.35666666666667,,,,1660301156.903125,1.0
5.0,22.545714285714286,0.051241,32.33,,1660301157.003125,1.0
5.0,6.8183333333333325,,,,1660301157.103125,1.0
5.0,-7.788333333333334,,,,1660301157.203125,1.0
5.0,-19.28142857142857,0.04996,32.31,,1660301157.303125,1.0
5.0,-20.400000000000002,,,,1660301157.403125,1.0
5.0,-26.0,0.04996,32.31,,1660301157.503125,1.0
5.0,10.828333333333333,,,,1660301157.603125,1.0
5.0,100.92833333333333,,,,1660301157.703125,1.0
5.0,87.32000000000001,0.047398,32.31,,1660301157.803125,1.0
5.0,67.12333333333333,,,,1660301157.903125,1.0
5.0,7.468571428571429,0.047398,32.31,,1660301158.003125,1.0
5.0,-57.58833333333333,,,,1660301158.103125,1.0
5.0,-62.666666666666664,,,,1660301158.203125,1.0
5.0,-33.621428571428574,0.046117,32.37,,1660301158.303125,1.0
5.0,-20.869999999999997,,,,1660301158.403125,1.0
5.0,-15.884285714285713,0.04996,32.37,,1660301158.503125,1.0
5.0,-14.121666666666668,,,,1660301158.603125,1.0
5.0,-19.533333333333335,,,,1660301158.703125,1.0
5.0,-23.037142857142857,0.048679,32.37,,1660301158.803125,1.0
5.0,-10.188333333333333,,,,1660301158.903125,1.0
5.0,4.837142857142857,0.04996,32.37,,1660301159.003125,1.0
5.0,10.014999999999999,,,,1660301159.103125,1.0
5.0,7.133333333333333,,,,1660301159.203125,1.0
5.0,-0.872857142857143,0.048679,32.33,,1660301159.303125,1.0
5.0,-12.918333333333335,,,,1660301159.403125,1.0
5.0,-24.304285714285715,0.047398,32.33,,1660301159.503125,1.0
5.0,-11.096666666666666,,,,1660301159.603125,1.0
5.0,-0.9433333333333334,,,,1660301159.703125,1.0
5.0,3.7157142857142853,0.04996,32.33,,1660301159.803125,1.0
5.0,3.561666666666666,,,,1660301159.903125,1.0
5.0,-9.015714285714285,0.047398,32.33,,1660301160.003125,1.0
5.0,-19.238333333333333,,,,1660301160.103125,1.0
5.0,-20.92166666666667,,,,1660301160.203125,1.0
5.0,1.3257142857142858,0.052522,32.33,,1660301160.303125,1.0
5.0,16.731666666666666,,,,1660301160.403125,1.0
5.0,19.53142857142857,0.051241,32.33,,1660301160.503125,1.0
5.0,13.243333333333332,,,,1660301160.603125,1.0
5.0,-2.0166666666666666,,,,1660301160.703125,1.0
5.0,-18.215714285714288,0.04996,32.33,,1660301160.803125,1.0
5.0,-25.389999999999997,,,,1660301160.903125,1.0
5.0,-5.217142857142858,0.051241,32.33,,1660301161.003125,1.0
5.0,6.218333333333334,,,,1660301161.103125,1.0
5.0,7.69,,,,1660301161.203125,1.0
5.0,3.124285714285714,0.04996,32.33,,1660301161.303125,1.0
5.0,-4.784999999999999,,,,1660301161.403125,1.0
5.0,-7.847142857142858,0.048679,32.33,,1660301161.503125,1.0
5.0,-14.03,,,,1660301161.603125,1.0
5.0,2.11,,,,1660301161.703125,1.0
5.0,10.347142857142856,0.048679,32.33,,1660301161.803125,1.0
5.0,5.98,,,,1660301161.903125,1.0
5.0,0.9442857142857143,0.04996,32.33,,1660301162.003125,1.0
5.0,-5.910000000000001,,,,1660301162.103125,1.0
5.0,-16.115,,,,1660301162.203125,1.0
5.0,-29.312857142857144,0.052522,32.31,,1660301162.303125,1.0
5.0,-15.39,,,,1660301162.403125,1.0
5.0,-4.105714285714286,0.04996,32.31,,1660301162.503125,1.0
5.0,2.2649999999999997,,,,1660301162.603125,1.0
5.0,-14.933333333333332,,,,1660301162.703125,1.0
5.0,-39.83428571428572,0.053803,32.31,,1660301162.803125,1.0
5.0,-75.51833333333333,,,,1660301162.903125,1.0
5.0,-115.68142857142857,0.053803,32.31,,1660301163.003125,1.0
5.0,-11.934999999999997,,,,1660301163.103125,1.0
5.0,49.333333333333336,,,,1660301163.203125,1.0
5.0,58.472857142857144,0.051241,32.29,,1660301163.303125,1.0
5.0,25.611666666666665,,,,1660301163.403125,1.0
5.0,50.82714285714286,0.051241,32.29,,1660301163.503125,1.0
5.0,71.66333333333334,,,,1660301163.603125,1.0
5.0,62.01666666666667,,,,1660301163.703125,1.0
5.0,43.35,0.051241,32.29,,1660301163.803125,1.0
