participant_id,empatica_bvp,empatica_bvp_time,empatica_eda,empatica_eda_time,empatica_temp,empatica_temp_time,samsung_bvp,samsung_bvp_time,CL
9,5.18,1637402255.25,,,,,,,0
9,5.84,1637402255.265625,,,,,,,0
9,6.52,1637402255.28125,,,,,,,0
9,7.27,1637402255.296875,,,,,,,0
9,7.98,1637402255.3125,,,,,,,0
9,8.41,1637402255.328125,,,,,,,0
9,8.3,1637402255.34375,,,,,,,0
9,7.47,1637402255.359375,,,,,,,0
9,5.92,1637402255.375,,,,,,,0
9,3.86,1637402255.390625,,,,,,,0
9,1.59,1637402255.40625,,,,,,,0
9,-0.54,1637402255.421875,,,,,,,0
9,-2.14,1637402255.4375,,,,,,,0
9,-2.99,1637402255.453125,,,,,,,0
9,-2.94,1637402255.46875,,,,,,,0
9,-2.05,1637402255.484375,,,,,,,0
9,-0.48,1637402255.5,,,,,,,0
9,1.47,1637402255.515625,,,,,,,0
9,3.51,1637402255.53125,,,,,,,0
9,5.38,1637402255.546875,,,,,,,0
9,6.95,1637402255.5625,,,,,,,0
9,8.24,1637402255.578125,,,,,,,0
9,9.36,1637402255.59375,,,,,,,0
9,10.43,1637402255.609375,,,,,,,0
9,11.54,1637402255.625,,,,,,,0
9,12.68,1637402255.640625,,,,,,,0
9,13.71,1637402255.65625,,,,,,,0
9,14.42,1637402255.671875,,,,,,,0
9,14.65,1637402255.6875,,,,,,,0
9,14.36,1637402255.703125,,,,,,,0
9,13.6,1637402255.71875,,,,,,,0
9,12.56,1637402255.734375,,,,,,,0
9,11.44,1637402255.75,,,,,,,0
9,10.31,1637402255.765625,,,,,,,0
9,9.1,1637402255.78125,,,,,,,0
9,7.61,1637402255.796875,,,,,,,0
9,5.64,1637402255.8125,,,,,,,0
9,3.07,1637402255.828125,,,,,,,0
9,-0.06,1637402255.84375,,,,,,,0
9,-3.58,1637402255.859375,,,,,,,0
9,-7.4,1637402255.875,,,,,,,0
9,-11.63,1637402255.890625,,,,,,,0
9,-16.63,1637402255.90625,,,,,,,0
9,-22.86,1637402255.921875,,,,,,,0
9,-30.68,1637402255.9375,,,,,,,0
9,-40.21,1637402255.953125,,,,,,,0
9,-51.31,1637402255.96875,,,,,,,0
9,-63.62,1637402255.984375,,,,,,,0
9,-76.63,1637402256.0,,,,,,,0
9,-89.7,1637402256.015625,,,,,,,0
9,-101.97,1637402256.03125,,,,,,,0
9,-112.33,1637402256.046875,,,,,,,0
9,-119.68,1637402256.0625,,,,,,,0
9,-123.2,1637402256.078125,,,,,,,0
9,-122.7,1637402256.09375,,,,,,,0
9,-118.72,1637402256.109375,,,,,,,0
9,-112.29,1637402256.125,,,,,,,0
9,-104.42,1637402256.140625,,,,,,,0
9,-95.83,1637402256.15625,,,,,,,0
9,-86.75,1637402256.171875,,,,,,,0
9,-77.26,1637402256.1875,,,,,,,0
9,-67.66,1637402256.203125,,,,,,,0
9,-58.64,1637402256.21875,,,,,,,0
9,-50.9,1637402256.234375,,,,,,,0
9,-44.69,1637402256.25,,,,,,,0
9,-39.14,1637402256.265625,,,,,,,0
9,-32.29,1637402256.28125,,,,,,,0
9,-21.66,1637402256.296875,,,,,,,0
9,-5.25,1637402256.3125,,,,,,,0
9,17.49,1637402256.328125,,,,,,,0
9,45.26,1637402256.34375,,,,,,,0
9,75.2,1637402256.359375,,,,,,,0
9,103.86,1637402256.375,,,,,,,0
9,128.22,1637402256.390625,,,,,,,0
9,146.54,1637402256.40625,,,,,,,0
9,158.73,1637402256.421875,,,,,,,0
9,166.03,1637402256.4375,,,,,,,0
9,170.39,1637402256.453125,,,,,,,0
9,173.68,1637402256.46875,,,,,,,0
9,177.11,1637402256.484375,,,,,,,0
9,180.94,1637402256.5,,,,,,,0
9,184.48,1637402256.515625,,,,,,,0
9,186.28,1637402256.53125,,,,,,,0
9,184.35,1637402256.546875,,,,,,,0
9,176.49,1637402256.5625,,,,,,,0
9,160.66,1637402256.578125,,,,,,,0
9,135.7,1637402256.59375,,,,,,,0
9,102.21,1637402256.609375,,,,,,,0
9,63.15,1637402256.625,,,,,,,0
9,23.69,1637402256.640625,,,,,,,0
9,-10.23,1637402256.65625,,,,,,,0
9,-34.08,1637402256.671875,,,,,,,0
9,-46.64,1637402256.6875,,,,,,,0
9,-50.43,1637402256.703125,,,,,,,0
9,-50.48,1637402256.71875,,,,,,,0
9,-51.89,1637402256.734375,,,,,,,0
9,-57.52,1637402256.75,,,,,,,0
9,-67.21,1637402256.765625,,,,,,,0
9,-78.55,1637402256.78125,,,,,,,0
9,-88.67,1637402256.796875,,,,,,,0
9,-95.83,1637402256.8125,,,,,,,0
9,-99.87,1637402256.828125,,,,,,,0
9,-101.6,1637402256.84375,,,,,,,0
9,-101.78,1637402256.859375,,,,,,,0
9,-100.46,1637402256.875,,,,,,,0
9,-97.16,1637402256.890625,,,,,,,0
9,-91.53,1637402256.90625,,,,,,,0
9,-83.92,1637402256.921875,,,,,,,0
9,-75.53,1637402256.9375,,,,,,,0
9,-67.84,1637402256.953125,,,,,,,0
9,-62.05,1637402256.96875,,,,,,,0
9,-58.54,1637402256.984375,,,,,,,0
9,-56.85,1637402257.0,,,,,,,0
9,-55.97,1637402257.015625,,,,,,,0
9,-54.78,1637402257.03125,,,,,,,0
9,-52.71,1637402257.046875,,,,,,,0
9,-49.86,1637402257.0625,,,,,,,0
9,-47.0,1637402257.078125,,,,,,,0
9,-45.11,1637402257.09375,,,,,,,0
9,-44.86,1637402257.109375,,,,,,,0
9,-46.16,1637402257.125,,,,,,,0
9,-48.07,1637402257.140625,,,,,,,0
9,-49.07,1637402257.15625,,,,,,,0
9,-47.68,1637402257.171875,,,,,,,0
9,-43.02,1637402257.1875,,,,,,,0
9,-35.18,1637402257.203125,,,,,,,0
9,-25.18,1637402257.21875,,,,,,,0
9,-14.63,1637402257.234375,,,,,,,0
9,-5.17,1637402257.25,,,,,,,0
9,1.99,1637402257.265625,,,,,,,0
9,6.31,1637402257.28125,,,,,,,0
9,7.95,1637402257.296875,,,,,,,0
9,7.59,1637402257.3125,,,,,,,0
9,6.16,1637402257.328125,,,,,,,0
9,4.53,1637402257.34375,,,,,,,0
9,3.43,1637402257.359375,,,,,,,0
9,3.26,1637402257.375,,,,,,,0
9,4.15,1637402257.390625,,,,,,,0
9,5.86,1637402257.40625,,,,,,,0
9,8.05,1637402257.421875,,,,,,,0
9,10.24,1637402257.4375,,,,,,,0
9,12.04,1637402257.453125,,,,,,,0
9,13.18,1637402257.46875,,,,,,,0
9,13.49,1637402257.484375,,,,,,,0
9,12.96,1637402257.5,,,,,,,0
9,11.68,1637402257.515625,,,,,,,0
9,9.86,1637402257.53125,,,,,,,0
9,7.78,1637402257.546875,,,,,,,0
9,5.76,1637402257.5625,,,,,,,0
9,4.01,1637402257.578125,,,,,,,0
9,2.61,1637402257.59375,,,,,,,0
9,1.49,1637402257.609375,,,,,,,0
9,0.48,1637402257.625,,,,,,,0
9,-0.51,1637402257.640625,,,,,,,0
