,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
0,9,-3.235714,1.269753,35.890000,2233883.000000,1
1,9,17.617143,1.273596,35.890000,2218121.333333,1
2,9,118.632857,1.276157,35.890000,2218317.666667,1
3,9,-65.158571,1.276157,35.890000,2210788.500000,1
4,9,-4.295714,1.274876,35.890000,2221471.666667,1
5,9,27.047143,1.273596,35.890000,2223348.666667,1
6,9,47.571429,1.267191,35.890000,2222122.000000,1
7,9,18.807143,1.263348,35.830000,2216063.000000,1
8,9,-37.507143,1.276157,35.830000,2233008.000000,1
9,9,3.158571,1.263348,35.770000,2256148.666667,1
10,9,14.291429,1.241572,35.810000,2266027.500000,1
11,9,-1.507143,1.251819,35.810000,2267832.500000,1
12,9,-23.914286,1.250539,35.810000,2266178.000000,1
13,9,43.127143,1.237729,35.790000,2264103.333333,1
14,9,44.771429,1.256943,35.790000,2273609.000000,1
15,9,-32.204286,1.260786,35.790000,2276023.000000,1
16,9,-25.881429,1.268472,35.790000,2277568.000000,1
17,9,-1.921429,1.265910,35.790000,2308837.000000,1
18,9,-7.658571,1.274876,35.790000,2300057.333333,1
19,9,-0.550000,1.272315,35.770000,2301383.000000,1
20,9,-4.212857,1.267191,35.770000,2294433.666667,1
21,9,2.797143,1.265910,35.770000,2293185.000000,1
22,9,8.081429,1.264629,35.770000,2286318.666667,1
23,9,-1.095714,1.269753,35.770000,2293655.500000,1
24,9,-0.895714,1.260786,35.770000,2315080.333333,1
25,9,1.610000,1.263348,35.770000,2310029.000000,1
26,9,-2.770000,1.260786,35.770000,2308091.500000,1
27,9,-0.762857,1.258224,35.770000,2309975.666667,1
28,9,1.560000,1.254381,35.770000,2305196.333333,1
29,9,7.590000,1.269753,35.770000,2296786.000000,1
30,9,-1.512857,1.258224,35.770000,2317972.000000,1
31,9,-7.954286,1.255662,35.770000,2325600.500000,1
32,9,-18.558571,1.250539,35.770000,2336769.500000,1
33,9,5.948571,1.246696,35.770000,2339135.000000,1
34,9,12.187143,1.242853,35.730000,2338748.666667,1
35,9,1.048571,1.245415,35.730000,2327967.000000,1
36,9,-0.125714,1.235167,35.730000,2311991.000000,1
37,9,2.075714,1.223639,35.730000,2308804.500000,1
38,9,-2.740000,1.226201,35.710000,2296496.333333,1
39,9,1.618571,1.235167,35.710000,2292642.000000,1
40,9,-3.068571,1.226201,35.710000,2295536.500000,1
41,9,-8.015714,1.231324,35.710000,2345542.333333,1
42,9,10.764286,1.230043,35.710000,2317520.000000,1
43,9,-11.372857,1.224920,35.710000,2315427.500000,1
44,9,0.415714,1.223639,35.680000,2274959.000000,1
45,9,-1.267143,1.218515,35.680000,2274873.000000,1
46,9,-1.572857,1.213391,35.680000,2212990.333333,1
47,9,-2.905714,1.219796,35.680000,2207672.500000,1
48,9,-12.711429,1.215953,35.650000,2188999.333333,1
49,9,-2.767143,1.215953,35.650000,2182854.500000,1
50,9,-7.031429,1.217234,35.630000,2236833.666667,1
51,9,6.962857,1.208267,35.650000,2232490.666667,1
52,9,-6.197143,1.213391,35.650000,2223741.000000,1
53,9,-4.680000,1.209548,35.650000,2216335.500000,1
54,9,1.601429,1.209548,35.650000,2281168.333333,1
55,9,-6.995714,1.205705,35.630000,2237915.666667,1
56,9,-1.811429,1.206986,35.630000,2228913.000000,1
57,9,9.021429,1.200582,35.630000,2226111.000000,1
58,9,3.495714,1.200582,35.630000,2269352.500000,1
59,9,-0.688571,1.208267,35.630000,2258263.500000,1
60,9,1.052857,1.208267,35.630000,2252945.333333,1
61,9,-10.278571,1.210829,35.610000,2243385.666667,1
62,9,0.578571,1.201863,35.610000,2240789.000000,1
63,9,-0.382857,1.210829,35.610000,2237282.500000,1
64,9,-1.387143,1.205705,35.590000,2239613.000000,1
65,9,9.038571,1.199301,35.590000,2265701.000000,1
66,9,-9.000000,1.200582,35.590000,2289247.333333,1
67,9,-9.647143,1.210829,35.590000,2280692.000000,1
68,9,-22.171429,1.201863,35.570000,2284314.000000,1
69,9,6.521429,1.204425,35.570000,2286888.666667,1
70,9,73.561429,1.203144,35.590000,2305512.500000,1
71,9,26.325714,1.214672,35.550000,2288104.333333,1
72,9,-2.632857,1.218515,35.550000,2289220.000000,1
