participant_id,empatica_bvp,empatica_bvp_time,empatica_eda,empatica_eda_time,empatica_temp,empatica_temp_time,samsung_bvp,samsung_bvp_time,CL
4,-30.69,1708757860.640625,,,,,,,1
4,-17.68,1708757860.65625,,,,,,,1
4,-6.22,1708757860.671875,,,,,,,1
4,3.27,1708757860.6875,,,,,,,1
4,10.72,1708757860.703125,,,,,,,1
4,16.33,1708757860.71875,,,,,,,1
4,20.48,1708757860.734375,,,,,,,1
4,23.53,1708757860.75,,,,,,,1
4,25.76,1708757860.765625,,,,,,,1
4,27.23,1708757860.78125,,,,,,,1
4,27.89,1708757860.796875,,,,,,,1
4,27.72,1708757860.8125,,,,,,,1
4,26.79,1708757860.828125,,,,,,,1
4,25.27,1708757860.84375,,,,,,,1
4,23.44,1708757860.859375,,,,,,,1
4,21.52,1708757860.875,,,,,,,1
4,19.74,1708757860.890625,,,,,,,1
4,18.27,1708757860.90625,,,,,,,1
4,17.27,1708757860.921875,,,,,,,1
4,16.9,1708757860.9375,,,,,,,1
4,17.22,1708757860.953125,,,,,,,1
4,18.12,1708757860.96875,,,,,,,1
4,19.26,1708757860.984375,,,,,,,1
4,20.09,1708757861.0,,,,,,,1
4,19.95,1708757861.015625,,,,,,,1
4,18.16,1708757861.03125,,,,,,,1
4,14.26,1708757861.046875,,,,,,,1
4,8.18,1708757861.0625,,,,,,,1
4,0.36,1708757861.078125,,,,,,,1
4,-8.26,1708757861.09375,,,,,,,1
4,-16.44,1708757861.109375,,,,,,,1
4,-23.03,1708757861.125,,,,,,,1
4,-27.29,1708757861.140625,,,,,,,1
4,-29.12,1708757861.15625,,,,,,,1
4,-28.95,1708757861.171875,,,,,,,1
4,-27.44,1708757861.1875,,,,,,,1
4,-25.06,1708757861.203125,,,,,,,1
4,-21.97,1708757861.21875,,,,,,,1
4,-18.01,1708757861.234375,,,,,,,1
4,-13.03,1708757861.25,,,,,,,1
4,-7.12,1708757861.265625,,,,,,,1
4,-0.76,1708757861.28125,,,,,,,1
4,5.33,1708757861.296875,,,,,,,1
4,10.48,1708757861.3125,,,,,,,1
4,14.27,1708757861.328125,,,,,,,1
4,16.71,1708757861.34375,,,,,,,1
4,18.17,1708757861.359375,,,,,,,1
4,19.2,1708757861.375,,,,,,,1
4,20.24,1708757861.390625,,,,,,,1
4,21.6,1708757861.40625,,,,,,,1
4,23.41,1708757861.421875,,,,,,,1
4,25.72,1708757861.4375,,,,,,,1
4,28.61,1708757861.453125,,,,,,,1
4,32.22,1708757861.46875,,,,,,,1
4,36.69,1708757861.484375,,,,,,,1
4,42.03,1708757861.5,,,,,,,1
4,47.98,1708757861.515625,,,,,,,1
4,53.94,1708757861.53125,,,,,,,1
4,59.07,1708757861.546875,,,,,,,1
4,62.47,1708757861.5625,,,,,,,1
4,63.53,1708757861.578125,,,,,,,1
4,62.11,1708757861.59375,,,,,,,1
4,58.73,1708757861.609375,,,,,,,1
4,54.32,1708757861.625,,,,,,,1
4,49.92,1708757861.640625,,,,,,,1
4,46.25,1708757861.65625,,,,,,,1
4,43.6,1708757861.671875,,,,,,,1
4,41.88,1708757861.6875,,,,,,,1
4,40.96,1708757861.703125,,,,,,,1
4,40.97,1708757861.71875,,,,,,,1
4,42.54,1708757861.734375,,,,,,,1
4,46.65,1708757861.75,,,,,,,1
4,54.36,1708757861.765625,,,,,,,1
4,66.46,1708757861.78125,,,,,,,1
4,83.2,1708757861.796875,,,,,,,1
4,104.31,1708757861.8125,,,,,,,1
4,129.0,1708757861.828125,,,,,,,1
4,156.1,1708757861.84375,,,,,,,1
4,184.11,1708757861.859375,,,,,,,1
4,211.04,1708757861.875,,,,,,,1
4,234.35,1708757861.890625,,,,,,,1
4,251.1,1708757861.90625,,,,,,,1
4,258.48,1708757861.921875,,,,,,,1
4,254.55,1708757861.9375,,,,,,,1
4,238.78,1708757861.953125,,,,,,,1
4,212.22,1708757861.96875,,,,,,,1
4,176.94,1708757861.984375,,,,,,,1
4,135.21,1708757862.0,,,,,,,1
4,88.97,1708757862.015625,,,,,,,1
4,39.77,1708757862.03125,,,,,,,1
4,-10.7,1708757862.046875,,,,,,,1
4,-60.1,1708757862.0625,,,,,,,1
4,-105.33,1708757862.078125,,,,,,,1
4,-143.19,1708757862.09375,,,,,,,1
4,-171.31,1708757862.109375,,,,,,,1
4,-188.86,1708757862.125,,,,,,,1
4,-196.64,1708757862.140625,,,,,,,1
4,-196.52,1708757862.15625,,,,,,,1
4,-190.54,1708757862.171875,,,,,,,1
4,-180.46,1708757862.1875,,,,,,,1
4,-167.66,1708757862.203125,,,,,,,1
4,-153.47,1708757862.21875,,,,,,,1
4,-139.43,1708757862.234375,,,,,,,1
4,-127.33,1708757862.25,,,,,,,1
4,-118.75,1708757862.265625,,,,,,,1
4,-114.59,1708757862.28125,,,,,,,1
4,-114.74,1708757862.296875,,,,,,,1
4,-118.06,1708757862.3125,,,,,,,1
4,-122.75,1708757862.328125,,,,,,,1
4,-126.84,1708757862.34375,,,,,,,1
4,-128.72,1708757862.359375,,,,,,,1
4,-127.43,1708757862.375,,,,,,,1
4,-122.75,1708757862.390625,,,,,,,1
4,-115.03,1708757862.40625,,,,,,,1
4,-104.96,1708757862.421875,,,,,,,1
4,-93.34,1708757862.4375,,,,,,,1
4,-81.04,1708757862.453125,,,,,,,1
4,-68.99,1708757862.46875,,,,,,,1
4,-58.14,1708757862.484375,,,,,,,1
4,-49.3,1708757862.5,,,,,,,1
4,-43.07,1708757862.515625,,,,,,,1
4,-39.6,1708757862.53125,,,,,,,1
4,-38.62,1708757862.546875,,,,,,,1
4,-39.5,1708757862.5625,,,,,,,1
4,-41.54,1708757862.578125,,,,,,,1
4,-44.08,1708757862.59375,,,,,,,1
4,-46.63,1708757862.609375,,,,,,,1
4,-48.9,1708757862.625,,,,,,,1
4,-50.71,1708757862.640625,,,,,,,1
4,-51.96,1708757862.65625,,,,,,,1
4,-52.49,1708757862.671875,,,,,,,1
4,-52.2,1708757862.6875,,,,,,,1
4,-50.98,1708757862.703125,,,,,,,1
4,-48.82,1708757862.71875,,,,,,,1
4,-45.83,1708757862.734375,,,,,,,1
4,-42.22,1708757862.75,,,,,,,1
4,-38.26,1708757862.765625,,,,,,,1
4,-34.21,1708757862.78125,,,,,,,1
4,-30.32,1708757862.796875,,,,,,,1
4,-26.88,1708757862.8125,,,,,,,1
4,-24.17,1708757862.828125,,,,,,,1
4,-22.47,1708757862.84375,,,,,,,1
4,-21.98,1708757862.859375,,,,,,,1
4,-22.71,1708757862.875,,,,,,,1
4,-24.44,1708757862.890625,,,,,,,1
4,-26.83,1708757862.90625,,,,,,,1
4,-29.45,1708757862.921875,,,,,,,1
4,-32.01,1708757862.9375,,,,,,,1
4,-34.4,1708757862.953125,,,,,,,1
4,-36.7,1708757862.96875,,,,,,,1
4,-39.14,1708757862.984375,,,,,,,1
4,-41.98,1708757863.0,,,,,,,1
4,-45.4,1708757863.015625,,,,,,,1
4,-49.44,1708757863.03125,,,,,,,1
4,-53.96,1708757863.046875,,,,,,,1
4,-58.64,1708757863.0625,,,,,,,1
4,-63.05,1708757863.078125,,,,,,,1
4,-66.78,1708757863.09375,,,,,,,1
4,-69.59,1708757863.109375,,,,,,,1
4,-71.54,1708757863.125,,,,,,,1
4,-73.03,1708757863.140625,,,,,,,1
4,-74.75,1708757863.15625,,,,,,,1
4,-77.43,1708757863.171875,,,,,,,1
4,-81.6,1708757863.1875,,,,,,,1
4,-87.29,1708757863.203125,,,,,,,1
4,-93.9,1708757863.21875,,,,,,,1
4,-100.21,1708757863.234375,,,,,,,1
4,-104.62,1708757863.25,,,,,,,1
4,-105.6,1708757863.265625,,,,,,,1
4,-101.98,1708757863.28125,,,,,,,1
4,-93.34,1708757863.296875,,,,,,,1
4,-79.99,1708757863.3125,,,,,,,1
4,-62.9,1708757863.328125,,,,,,,1
