Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
0,9,-0.0593223061,2.1050211977,2.2767643166,0.2125003656,1
1,9,-0.3189855665,2.1268510331,2.2767643166,0.2121093075,1
2,9,0.2539819173,2.1159375357,2.2767643166,0.1614527475,1
3,9,2.1763441998,2.1232122538,2.2767643166,0.1624093853,1
4,9,-0.0941718489,2.1195734745,2.2767643166,0.1721438219,1
5,9,0.5898358449,2.1159375357,2.2767643166,0.1786948521,1
6,9,-1.0837963670,2.0795497424,2.2031939243,0.1836557950,1
7,9,-0.5420909731,2.1232122538,2.2031939243,0.2296455136,1
8,9,-0.1249214455,2.1086599771,2.1541469961,0.2688450426,1
9,9,0.4090965492,2.0977436391,2.1296235321,0.2344060797,1
10,9,-0.0166145330,2.0540782871,2.1786704602,0.3208331391,1
11,9,-0.4225092085,2.0504423484,2.1786704602,0.3174331964,1
12,9,0.8035455415,2.0140545551,2.1541469961,0.3096508182,1
13,9,1.1810822556,2.0577170665,2.1541469961,0.3226882409,1
14,9,-0.1244089523,2.0686334044,2.1541469961,0.3627442193,1
15,9,-0.6801224958,2.0795497424,2.1541469961,0.3448977522,1
16,9,-0.0104646137,2.0941048598,2.1541469961,0.4536959172,1
17,9,-0.0721346380,2.1122987564,2.1296235321,0.4245734046,1
18,9,-0.0716221447,2.0977436391,2.1296235321,0.4077966913,1
19,9,0.0513762418,2.0941048598,2.1296235321,0.4032720528,1
20,9,0.1537040661,2.0904660804,2.1296235321,0.3791880484,1
21,9,0.1964118392,2.0868273011,2.1296235321,0.3927975147,1
22,9,0.0324139905,2.0868273011,2.1296235321,0.4772531244,1
23,9,-0.0202019859,2.0795497424,2.1296235321,0.4733328483,1
24,9,-0.0237894389,2.0722721838,2.1296235321,0.4586213094,1
25,9,0.0293390309,2.0613558458,2.1296235321,0.4408621032,1
26,9,-0.1355129733,2.0722721838,2.1296235321,0.4369127402,1
27,9,-0.0425808590,2.0868273011,2.1296235321,0.4848868359,1
28,9,1.2750393564,2.0686334044,2.1296235321,0.4898219238,1
29,9,0.1335459972,2.0395260104,2.1296235321,0.5553807040,1
30,9,-0.0191769994,2.0358872311,2.0805766039,0.5050182454,1
31,9,0.1383292678,2.0067769964,2.0805766039,0.4845410243,1
32,9,-0.0082438095,2.0067769964,2.0805766039,0.4684171517,1
33,9,0.0337806393,1.9849443205,2.0805766039,0.5582182987,1
34,9,0.0356597813,2.0031382171,2.0805766039,0.5322339461,1
35,9,-0.1047633766,1.9885859404,2.0560531398,0.4469057275,1
36,9,-0.0615431103,2.0067769964,2.0560531398,0.4003568929,1
37,9,0.0785383855,1.9667532644,2.0560531398,0.3940805729,1
38,9,-0.0246435943,1.9740308231,2.0192679437,0.3411423023,1
