Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
0,9,0.4485698325,0.7355574018,1.0000000000,0.3655164552,1
1,9,0.4335414566,0.7408471761,1.0000000000,0.3654476568,1
2,9,0.4667027545,0.7382026331,1.0000000000,0.3565357139,1
3,9,0.5779621720,0.7399654323,1.0000000000,0.3567040139,1
4,9,0.4465528663,0.7390836886,1.0000000000,0.3584165807,1
5,9,0.4861407724,0.7382026331,1.0000000000,0.3595690950,1
6,9,0.3892769571,0.7293851954,0.9829545455,0.3604418673,1
7,9,0.4206289178,0.7399654323,0.9829545455,0.3685327789,1
8,9,0.4447731902,0.7364391456,0.9715909091,0.3754291012,1
9,9,0.4756802318,0.7337939142,0.9659090909,0.3693702991,1
10,9,0.4510416049,0.7232129890,0.9772727273,0.3845752996,1
11,9,0.4275498804,0.7223319335,0.9772727273,0.3839771521,1
12,9,0.4985095213,0.7135144958,0.9715909091,0.3826080084,1
13,9,0.5203599889,0.7240947327,0.9715909091,0.3849016653,1
14,9,0.4448028514,0.7267399641,0.9715909091,0.3919486617,1
15,9,0.4126401495,0.7293851954,0.9715909091,0.3888089558,1
16,9,0.4513975401,0.7329121705,0.9715909091,0.4079496760,1
17,9,0.4478283008,0.7373208893,0.9659090909,0.4028261901,1
18,9,0.4478579621,0.7337939142,0.9659090909,0.3998746847,1
19,9,0.4549766665,0.7329121705,0.9659090909,0.3990786709,1
20,9,0.4608990330,0.7320304267,0.9659090909,0.3948416032,1
21,9,0.4633708054,0.7311486829,0.9659090909,0.3972358990,1
22,9,0.4538791995,0.7311486829,0.9659090909,0.4120940649,1
23,9,0.4508339760,0.7293851954,0.9659090909,0.4114043759,1
24,9,0.4506263471,0.7276217078,0.9659090909,0.4088161939,1
25,9,0.4537012319,0.7249764765,0.9659090909,0.4056918397,1
26,9,0.4441601906,0.7276217078,0.9659090909,0.4049970334,1
27,9,0.4495387673,0.7311486829,0.9659090909,0.4134370539,1
28,9,0.5257978881,0.7267399641,0.9659090909,0.4143052775,1
29,9,0.4597323565,0.7196867022,0.9659090909,0.4258389488,1
30,9,0.4508932985,0.7188049584,0.9545454545,0.4169787467,1
31,9,0.4600091950,0.7117510082,0.9545454545,0.4133762157,1
32,9,0.4515260723,0.7117510082,0.9545454545,0.4105395637,1
33,9,0.4539582963,0.7064605456,0.9545454545,0.4263381631,1
34,9,0.4540670542,0.7108692644,0.9545454545,0.4217667697,1
35,9,0.4459398667,0.7073429777,0.9488636364,0.4067550867,1
36,9,0.4484413004,0.7117510082,0.9488636364,0.3985658106,1
37,9,0.4565487137,0.7020525150,0.9488636364,0.3974616257,1
38,9,0.4505769117,0.7038160026,0.9403409091,0.3881482644,1
39,9,0.4504582666,0.7002890275,0.9403409091,0.3892297060,1
40,9,0.4575374226,0.7029342588,0.9488636364,0.3853690391,1
41,9,0.4495980898,0.7002890275,0.9488636364,0.3747775070,1
42,9,0.4532068775,0.7011707713,0.9488636364,0.3687158620,1
43,9,0.4546306183,0.7020525150,0.9403409091,0.3525243729,1
44,9,0.4520896364,0.6976437962,0.9403409091,0.3488223402,1
45,9,0.4490641870,0.6976437962,0.9403409091,0.3425321256,1
46,9,0.4502605248,0.6967620524,0.9403409091,0.3540555623,1
47,9,0.4490740741,0.7002890275,0.9403409091,0.3654118362,1
48,9,0.4549568923,0.6958803086,0.9403409091,0.3449366558,1
49,9,0.4543537798,0.6958803086,0.9403409091,0.3445557063,1
50,9,0.4603156948,0.7002890275,0.9318181818,0.3369026023,1
51,9,0.4529893615,0.6994072837,0.9318181818,0.3352059558,1
52,9,0.4515656206,0.6949985648,0.9318181818,0.3558232815,1
53,9,0.4520204267,0.6976437962,0.9318181818,0.3688352641,1
54,9,0.4578538095,0.6949985648,0.9318181818,0.3873749939,1
55,9,0.4471164304,0.6967620524,0.9318181818,0.3709452692,1
56,9,0.4564399557,0.6949985648,0.9318181818,0.3676258917,1
57,9,0.4453664155,0.6914715897,0.9261363636,0.3665717420,1
58,9,0.4447138676,0.6905905343,0.9261363636,0.3628884725,1
59,9,0.4541066026,0.6941168211,0.9261363636,0.3632859108,1
60,9,0.4500627830,0.6923533335,0.9261363636,0.3634633082,1
61,9,0.4626885962,0.6879453030,0.9261363636,0.3608381684,1
62,9,0.4515952819,0.6932350773,0.9261363636,0.3775169316,1
63,9,0.4453565284,0.6897087905,0.9204545455,0.3695630481,1
64,9,0.4510613791,0.6888270468,0.9204545455,0.3685413076,1
65,9,0.4562224397,0.6870635592,0.9147727273,0.3829338055,1
66,9,0.4665939966,0.6932350773,0.9147727273,0.3975520302,1
67,9,0.4417477408,0.6879453030,0.9147727273,0.3972529564,1
68,9,0.4502605248,0.6949985648,0.9147727273,0.3935122602,1
69,9,0.4479073975,0.6941168211,0.9147727273,0.3902650925,1
70,9,0.4550656503,0.6932350773,0.9090909091,0.4056156499,1
71,9,0.4554611339,0.6870635592,0.9090909091,0.3978397323,1
72,9,0.4614625971,0.6932350773,0.9090909091,0.3950184320,1
73,9,0.4596038243,0.6905905343,0.9090909091,0.3952367672,1
74,9,0.4624908544,0.6914715897,0.9034090909,0.4206455274,1
75,9,0.4259382848,0.6888270468,0.9034090909,0.4140380443,1
76,9,0.3835918807,0.6888270468,0.9147727273,0.4138231206,1
77,9,0.4680177374,0.6941168211,0.9147727273,0.3976458461,1
78,9,0.4806732119,0.6976437962,0.9034090909,0.3966707292,1
79,9,0.4580021158,0.7082240331,0.9034090909,0.3996825042,1
80,9,0.4537111190,0.7117510082,0.9090909091,0.3949513394,1
81,9,0.4424991596,0.7108692644,0.9090909091,0.3863026496,1
82,9,0.4457025766,0.7179232146,0.9090909091,0.3787444986,1
83,9,0.4499441379,0.7214501897,0.9090909091,0.3858443730,1
84,9,0.4552930533,0.7223319335,0.9090909091,0.3901661594,1
85,9,0.4606024204,0.7170414709,0.9034090909,0.3971199084,1
86,9,0.4571814874,0.7179232146,0.8977272727,0.3727419861,1
87,9,0.4478480750,0.7135144958,0.8977272727,0.3552586803,1
88,9,0.4425387080,0.7143962395,0.8977272727,0.3558289673,1
89,9,0.4669894801,0.7091057769,0.8977272727,0.3762086261,1
90,9,0.4479172846,0.7161597271,0.8977272727,0.3755530519,1
91,9,0.4497167349,0.7108692644,0.8892045455,0.3947591589,1
92,9,0.4603354689,0.7117510082,0.8977272727,0.3884462010,1
93,9,0.4704301873,0.7126327520,0.8977272727,0.3820951481,1
94,9,0.4552337308,0.7135144958,0.8892045455,0.3834170996,1
95,9,0.4410754187,0.7188049584,0.8892045455,0.4038792026,1
96,9,0.4410062091,0.7161597271,0.8863636364,0.4061569392,1
97,9,0.4560246979,0.7099875207,0.8863636364,0.3943145284,1
98,9,0.4488268968,0.7082240331,0.8892045455,0.3834062965,1
99,9,0.4664061419,0.7108692644,0.8892045455,0.3768914922,1
100,9,0.4495980898,0.7135144958,0.8863636364,0.3946892234,1
101,9,0.4543340057,0.7135144958,0.8863636364,0.3719300520,1
102,9,0.4457618991,0.7099875207,0.8806818182,0.3644748143,1
103,9,0.4495585415,0.7108692644,0.8806818182,0.3380670568,1
104,9,0.4513975401,0.7117510082,0.8806818182,0.3198343609,1
105,9,0.4607111783,0.7126327520,0.8863636364,0.3276142585,1
106,9,0.4616702260,0.7143962395,0.8863636364,0.2873723499,1
107,9,0.4533354096,0.7170414709,0.8750000000,0.2622097855,1
108,9,0.4660600937,0.7099875207,0.8750000000,0.2888176836,1
109,9,0.4490839612,0.7082240331,0.8750000000,0.2493808861,1
110,9,0.4434384331,0.7038160026,0.8750000000,0.2417186847,1
111,9,0.4518029108,0.7082240331,0.8750000000,0.2999829141,1
112,9,0.4638750470,0.7073429777,0.8750000000,0.2917185852,1
113,9,0.4590798086,0.7064605456,0.8693181818,0.3111430275,1
114,9,0.4449610449,0.7055794901,0.8750000000,0.2971127158,1
115,9,0.4288549762,0.7064605456,0.8750000000,0.2734404029,1
116,9,0.4375556149,0.7046977464,0.8693181818,0.2689872743,1
117,9,0.4713397995,0.7064605456,0.8693181818,0.2870744134,1
118,9,0.4788836487,0.7064605456,0.8693181818,0.2534638682,1
119,9,0.4505175891,0.7055794901,0.8693181818,0.2468137416,1
120,9,0.4394242748,0.7020525150,0.8636363636,0.2055290549,1
121,9,0.4591589053,0.7038160026,0.8636363636,0.2390457842,1
122,9,0.4480853651,0.7002890275,0.8636363636,0.2391396001,1
123,9,0.4579230191,0.7002890275,0.8636363636,0.2284792697,1
124,9,0.4500528959,0.6967620524,0.8636363636,0.2268616559,1
125,9,0.4367448735,0.7011707713,0.8636363636,0.2016820340,1
126,9,0.4627182575,0.7011707713,0.8636363636,0.2139287062,1
127,9,0.4646660141,0.6985255399,0.8636363636,0.2266455950,1
128,9,0.4420740148,0.6976437962,0.8579545455,0.2137274284,1
129,9,0.4453367543,0.6941168211,0.8579545455,0.1980976976,1
130,9,0.4523170394,0.6985255399,0.8579545455,0.1990000361,1
131,9,0.4601970497,0.7020525150,0.8522727273,0.2061283396,1
132,9,0.4632126120,0.6976437962,0.8522727273,0.2303442163,1
133,9,0.4531178937,0.6976437962,0.8522727273,0.2452444573,1
134,9,0.4573100196,0.6949985648,0.8579545455,0.2421957244,1
135,9,0.4514667497,0.6985255399,0.8579545455,0.2435944344,1
136,9,0.4696886556,0.6958803086,0.8437500000,0.2934931274,1
137,9,0.4399779518,0.6994072837,0.8437500000,0.3103509938,1
138,9,0.4629159993,0.6994072837,0.8522727273,0.3304691051,1
139,9,0.4290724921,0.7046977464,0.8437500000,0.2857166413,1
140,9,0.4273422515,0.7196867022,0.8437500000,0.3098250561,1
141,9,0.4480458168,0.7161597271,0.8409090909,0.3081249980,1
142,9,0.4452477705,0.7143962395,0.8409090909,0.2987923049,1
143,9,0.4617592098,0.7082240331,0.8409090909,0.3187779369,1
144,9,0.4626589350,0.7038160026,0.8352272727,0.3277501495,1
145,9,0.4266600423,0.7046977464,0.8352272727,0.3280924354,1
146,9,0.4340951336,0.7002890275,0.8352272727,0.3286678396,1
147,9,0.4370118250,0.7002890275,0.8352272727,0.3222133050,1
148,9,0.4567266813,0.7064605456,0.8409090909,0.3307067721,1
149,9,0.4091203457,0.7002890275,0.8352272727,0.3033085460,1
150,9,0.4709047676,0.6932350773,0.8352272727,0.2914195115,1
151,9,0.4649230784,0.6949985648,0.8352272727,0.3135839469,1
152,9,0.4679880762,0.6958803086,0.8352272727,0.2852197012,1
153,9,0.4752353127,0.6958803086,0.8295454545,0.2683624035,1
154,9,0.4558071820,0.6967620524,0.8295454545,0.2843025796,1
155,9,0.4386333076,0.6949985648,0.8295454545,0.2803930148,1
156,9,0.4703510905,0.6958803086,0.8295454545,0.2476188527,1
157,9,0.4588227443,0.6923533335,0.8238636364,0.2439378575,1
158,9,0.3950707916,0.7002890275,0.8238636364,0.2687575675,1
159,9,0.4381488402,0.6941168211,0.8238636364,0.2462951955,1
160,9,0.4024267861,0.6905905343,0.8181818182,0.2837135294,1
161,9,0.4751957644,0.7064605456,0.8181818182,0.3032784112,1
162,9,0.4179594036,0.7055794901,0.8181818182,0.2959783962,1
163,9,0.4490641870,0.6949985648,0.8181818182,0.2858565123,1
164,9,0.4476305590,0.6897087905,0.8068181818,0.2806983429,1
165,9,0.4755615867,0.6932350773,0.8068181818,0.3032789798,1
166,9,0.4510712661,0.6985255399,0.8125000000,0.3049960953,1
167,9,0.4320880544,0.7029342588,0.8125000000,0.3276790768,1
168,9,0.4335216824,0.7029342588,0.8181818182,0.3217192078,1
169,9,0.5024940183,0.7020525150,0.8181818182,0.3103538367,1
170,9,0.4413127089,0.6932350773,0.8125000000,0.2920853202,1
171,9,0.4240300765,0.6932350773,0.8125000000,0.3032215531,1
172,9,0.4724471535,0.7002890275,0.8181818182,0.3409173547,1
173,9,0.4553424888,0.6976437962,0.8181818182,0.3323545207,1
174,9,0.4600981788,0.6914715897,0.8125000000,0.3040238213,1
175,9,0.4305555556,0.6932350773,0.8125000000,0.2993301828,1
176,9,0.4827890491,0.6994072837,0.8125000000,0.3140865728,1
177,9,0.4337886338,0.7020525150,0.8125000000,0.2875707848,1
178,9,0.4182263550,0.7011707713,0.8068181818,0.2621625932,1
179,9,0.4693426074,0.6949985648,0.7982954545,0.2722964173,1
180,9,0.4285979118,0.6949985648,0.7982954545,0.2326606164,1
181,9,0.3883277966,0.7002890275,0.7982954545,0.2232335388,1
182,9,0.4420542406,0.6923533335,0.7926136364,0.2603499561,1
183,9,0.4242574796,0.6949985648,0.8068181818,0.2470968951,1
184,9,0.4555303435,0.6949985648,0.7982954545,0.2382935511,1
185,9,0.4439426747,0.6923533335,0.7982954545,0.2415287786,1
186,9,0.4523368136,0.6932350773,0.7926136364,0.2729127594,1
187,9,0.4242179312,0.6897087905,0.7926136364,0.2653227680,1
188,9,0.4477195428,0.6967620524,0.7982954545,0.2626606704,1
189,9,0.4121556821,0.6967620524,0.7982954545,0.2533154685,1
190,9,0.4624809674,0.6958803086,0.7897727273,0.2826110503,1
191,9,0.4378324534,0.6923533335,0.7897727273,0.2902090019,1
192,9,0.4637366277,0.6967620524,0.7897727273,0.2710705561,1
193,9,0.3925594708,0.6941168211,0.7897727273,0.2542735280,1
194,9,0.4445556742,0.6932350773,0.7840909091,0.2636556876,1
195,9,0.4154381958,0.6949985648,0.7840909091,0.2949890648,1
196,9,0.4676123668,0.6932350773,0.7840909091,0.2892367280,1
197,9,0.4332942793,0.6976437962,0.7840909091,0.2885737622,1
198,9,0.3910071978,0.6941168211,0.7840909091,0.2634925048,1
199,9,0.4923300904,0.6967620524,0.7897727273,0.2789630328,1
200,9,0.4652691266,0.6985255399,0.7897727273,0.2855932591,1
201,9,0.4407689189,0.6923533335,0.7840909091,0.3001131192,1
202,9,0.4316925708,0.6994072837,0.7840909091,0.2932338544,1
203,9,0.4394341619,0.7002890275,0.7840909091,0.2942618493,1
204,9,0.4092884262,0.6941168211,0.7840909091,0.2839011612,1
205,9,0.4803271638,0.6967620524,0.7840909091,0.2780390883,1
206,9,0.4713991220,0.6967620524,0.7840909091,0.2828703234,1
207,9,0.4551150857,0.6914715897,0.7840909091,0.3041221858,1
208,9,0.4844006446,0.6949985648,0.7784090909,0.2826127561,1
209,9,0.4740686362,0.6985255399,0.7784090909,0.2805055938,1
210,9,0.4935264282,0.6941168211,0.7784090909,0.3081016862,1
211,9,0.4371502442,0.6932350773,0.7784090909,0.3185186638,1
212,9,0.4402547903,0.6985255399,0.7727272727,0.3027939800,1
213,9,0.4457915604,0.6949985648,0.7727272727,0.2934396808,1
214,9,0.4113053924,0.6949985648,0.7727272727,0.2878101575,1
215,9,0.4294383144,0.6976437962,0.7727272727,0.2787293459,1
216,9,0.4654866425,0.6976437962,0.7727272727,0.2890257843,1
217,9,0.4087149750,0.6994072837,0.7727272727,0.3006907978,1
218,9,0.5094248680,0.6949985648,0.7727272727,0.3081113521,1
219,9,0.3771949339,0.6976437962,0.7727272727,0.2882638854,1
220,9,0.4859726919,0.7002890275,0.7727272727,0.2897717629,1
221,9,0.4930024124,0.6967620524,0.7727272727,0.3057494655,1
222,9,0.4977383283,0.7002890275,0.7727272727,0.2946234670,1
223,9,0.3734576140,0.7011707713,0.7727272727,0.2783068900,1
224,9,0.4523368136,0.7002890275,0.7613636364,0.3253945172,1
225,9,0.4832438552,0.7038160026,0.7613636364,0.3372727487,1
226,9,0.3716087283,0.7011707713,0.7670454545,0.3037048472,1
227,9,0.4806633248,0.7082240331,0.7670454545,0.3131501194,1
228,9,0.4812565502,0.7046977464,0.7670454545,0.3232196938,1
229,9,0.4698863973,0.7117510082,0.7670454545,0.3267312518,1
230,9,0.4278860414,0.7135144958,0.7670454545,0.3113653428,1
231,9,0.4615713551,0.7099875207,0.7613636364,0.2912415456,1
232,9,0.4962651520,0.7073429777,0.7613636364,0.3372392024,1
233,9,0.4886916415,0.7117510082,0.7613636364,0.3340994966,1
234,9,0.4037912044,0.7055794901,0.7613636364,0.3104993935,1
235,9,0.4506362342,0.7126327520,0.7613636364,0.3401821791,1
236,9,0.4904614305,0.7108692644,0.7556818182,0.3063356728,1
237,9,0.4096740227,0.7064605456,0.7556818182,0.3330845790,1
238,9,0.3997473849,0.7064605456,0.7556818182,0.3138403771,1
239,9,0.4037121077,0.7038160026,0.7556818182,0.3057176249,1
240,9,0.4620261612,0.7064605456,0.7471590909,0.3016317998,1
241,9,0.4485599454,0.7108692644,0.7471590909,0.3362697713,1
242,9,0.4992807142,0.7046977464,0.7471590909,0.3239633981,1
243,9,0.4961267327,0.7073429777,0.7471590909,0.3457991936,1
244,9,0.4582690673,0.7152779833,0.7471590909,0.3231565813,1
245,9,0.4111471990,0.7161597271,0.7471590909,0.3162579847,1
246,9,0.4625996124,0.7099875207,0.7471590909,0.2938393934,1
247,9,0.4080228787,0.7082240331,0.7471590909,0.3415490485,1
248,9,0.4986083922,0.7091057769,0.7471590909,0.3226448582,1
249,9,0.4843116608,0.7064605456,0.7471590909,0.2882348877,1
250,9,0.4902538016,0.7082240331,0.7443181818,0.3195278956,1
251,9,0.4250385596,0.7046977464,0.7443181818,0.2929597982,1
252,9,0.3934097605,0.7143962395,0.7386363636,0.2775569313,1
253,9,0.4678793182,0.7135144958,0.7386363636,0.2714765231,1
254,9,0.3928363093,0.7135144958,0.7386363636,0.2552782111,1
255,9,0.5115802535,0.7082240331,0.7386363636,0.2548864586,1
256,9,0.4336205533,0.7099875207,0.7386363636,0.2887022616,1
257,9,0.5066564830,0.7091057769,0.7386363636,0.2984795852,1
258,9,0.4051160744,0.7161597271,0.7329545455,0.2802412036,1
259,9,0.4399285163,0.7108692644,0.7329545455,0.3039538858,1
260,9,0.5047482747,0.7143962395,0.7329545455,0.3225811771,1
261,9,0.4753836191,0.7170414709,0.7329545455,0.3222900634,1
262,9,0.4737127010,0.7108692644,0.7272727273,0.3078071611,1
263,9,0.4620459354,0.7126327520,0.7272727273,0.3086895993,1
264,9,0.4965222163,0.7205684460,0.7272727273,0.3508032774,1
265,9,0.4098519903,0.7223319335,0.7272727273,0.3296094102,1
266,9,0.4542845702,0.7108692644,0.7272727273,0.3009000357,1
267,9,0.4980052797,0.7143962395,0.7272727273,0.3350484588,1
268,9,0.4300710882,0.7117510082,0.7215909091,0.2640735949,1
269,9,0.4830955488,0.7108692644,0.7215909091,0.2911323779,1
270,9,0.4342632141,0.7135144958,0.7272727273,0.2737383395,1
271,9,0.4319397481,0.7108692644,0.7272727273,0.2561549634,1
272,9,0.4151020348,0.7126327520,0.7272727273,0.2475676804,1
273,9,0.4667521900,0.7064605456,0.7272727273,0.2330000594,1
274,9,0.4492223804,0.7064605456,0.7272727273,0.2493120877,1
275,9,0.5002199877,0.7143962395,0.7159090909,0.2868708613,1
276,9,0.4842819996,0.7126327520,0.7159090909,0.2678245256,1
