participant_id,empatica_bvp,empatica_bvp_time,empatica_eda,empatica_eda_time,empatica_temp,empatica_temp_time,samsung_bvp,samsung_bvp_time,CL
10,96.42,1721467270.8125,,,,,,,0
10,98.59,1721467270.828125,,,,,,,0
10,97.38,1721467270.84375,,,,,,,0
10,93.72,1721467270.859375,,,,,,,0
10,88.71,1721467270.875,,,,,,,0
10,83.38,1721467270.890625,,,,,,,0
10,78.43,1721467270.90625,,,,,,,0
10,74.14,1721467270.921875,,,,,,,0
10,70.45,1721467270.9375,,,,,,,0
10,67.17,1721467270.953125,,,,,,,0
10,64.17,1721467270.96875,,,,,,,0
10,61.52,1721467270.984375,,,,,,,0
10,59.38,1721467271.0,,,,,,,0
10,57.86,1721467271.015625,,,,,,,0
10,56.83,1721467271.03125,,,,,,,0
10,55.91,1721467271.046875,,,,,,,0
10,54.56,1721467271.0625,,,,,,,0
10,52.23,1721467271.078125,,,,,,,0
10,48.64,1721467271.09375,,,,,,,0
10,43.8,1721467271.109375,,,,,,,0
10,37.97,1721467271.125,,,,,,,0
10,31.5,1721467271.140625,,,,,,,0
10,24.63,1721467271.15625,,,,,,,0
10,17.45,1721467271.171875,,,,,,,0
10,9.85,1721467271.1875,,,,,,,0
10,1.73,1721467271.203125,,,,,,,0
10,-6.94,1721467271.21875,,,,,,,0
10,-15.98,1721467271.234375,,,,,,,0
10,-25.05,1721467271.25,,,,,,,0
10,-33.76,1721467271.265625,,,,,,,0
10,-41.78,1721467271.28125,,,,,,,0
10,-49.03,1721467271.296875,,,,,,,0
10,-55.67,1721467271.3125,,,,,,,0
10,-62.14,1721467271.328125,,,,,,,0
10,-69.07,1721467271.34375,,,,,,,0
10,-77.14,1721467271.359375,,,,,,,0
10,-86.82,1721467271.375,,,,,,,0
10,-98.01,1721467271.390625,,,,,,,0
10,-109.74,1721467271.40625,,,,,,,0
10,-120.21,1721467271.421875,,,,,,,0
10,-127.08,1721467271.4375,,,,,,,0
10,-128.13,1721467271.453125,,,,,,,0
10,-121.95,1721467271.46875,,,,,,,0
10,-108.37,1721467271.484375,,,,,,,0
10,-88.45,1721467271.5,,,,,,,0
10,-64.15,1721467271.515625,,,,,,,0
10,-37.69,1721467271.53125,,,,,,,0
10,-11.1,1721467271.546875,,,,,,,0
10,14.03,1721467271.5625,,,,,,,0
10,36.53,1721467271.578125,,,,,,,0
10,55.54,1721467271.59375,,,,,,,0
10,70.39,1721467271.609375,,,,,,,0
10,80.73,1721467271.625,,,,,,,0
10,86.61,1721467271.640625,,,,,,,0
10,88.57,1721467271.65625,,,,,,,0
10,87.56,1721467271.671875,,,,,,,0
10,84.76,1721467271.6875,,,,,,,0
10,81.27,1721467271.703125,,,,,,,0
10,77.9,1721467271.71875,,,,,,,0
10,75.06,1721467271.734375,,,,,,,0
10,72.81,1721467271.75,,,,,,,0
10,71.03,1721467271.765625,,,,,,,0
10,69.64,1721467271.78125,,,,,,,0
10,68.74,1721467271.796875,,,,,,,0
10,68.66,1721467271.8125,,,,,,,0
10,69.82,1721467271.828125,,,,,,,0
10,72.56,1721467271.84375,,,,,,,0
10,77.03,1721467271.859375,,,,,,,0
10,83.09,1721467271.875,,,,,,,0
10,90.43,1721467271.890625,,,,,,,0
10,98.69,1721467271.90625,,,,,,,0
10,107.44,1721467271.921875,,,,,,,0
10,116.29,1721467271.9375,,,,,,,0
10,124.77,1721467271.953125,,,,,,,0
10,132.38,1721467271.96875,,,,,,,0
10,138.71,1721467271.984375,,,,,,,0
10,143.53,1721467272.0,,,,,,,0
10,146.91,1721467272.015625,,,,,,,0
10,149.05,1721467272.03125,,,,,,,0
10,150.09,1721467272.046875,,,,,,,0
10,149.81,1721467272.0625,,,,,,,0
10,147.54,1721467272.078125,,,,,,,0
10,142.36,1721467272.09375,,,,,,,0
10,133.33,1721467272.109375,,,,,,,0
10,119.9,1721467272.125,,,,,,,0
10,101.95,1721467272.140625,,,,,,,0
10,79.55,1721467272.15625,,,,,,,0
10,52.61,1721467272.171875,,,,,,,0
10,20.75,1721467272.1875,,,,,,,0
10,-16.47,1721467272.203125,,,,,,,0
10,-58.99,1721467272.21875,,,,,,,0
10,-105.77,1721467272.234375,,,,,,,0
10,-154.59,1721467272.25,,,,,,,0
10,-202.48,1721467272.265625,,,,,,,0
10,-246.38,1721467272.28125,,,,,,,0
10,-283.73,1721467272.296875,,,,,,,0
10,-312.74,1721467272.3125,,,,,,,0
10,-332.33,1721467272.328125,,,,,,,0
10,-341.96,1721467272.34375,,,,,,,0
10,-341.58,1721467272.359375,,,,,,,0
10,-331.82,1721467272.375,,,,,,,0
10,-314.15,1721467272.390625,,,,,,,0
10,-290.84,1721467272.40625,,,,,,,0
10,-264.66,1721467272.421875,,,,,,,0
10,-238.2,1721467272.4375,,,,,,,0
10,-213.4,1721467272.453125,,,,,,,0
10,-191.27,1721467272.46875,,,,,,,0
10,-172.02,1721467272.484375,,,,,,,0
10,-155.37,1721467272.5,,,,,,,0
10,-140.89,1721467272.515625,,,,,,,0
10,-128.14,1721467272.53125,,,,,,,0
10,-116.68,1721467272.546875,,,,,,,0
10,-106.08,1721467272.5625,,,,,,,0
10,-95.9,1721467272.578125,,,,,,,0
10,-85.76,1721467272.59375,,,,,,,0
10,-75.35,1721467272.609375,,,,,,,0
10,-64.56,1721467272.625,,,,,,,0
10,-53.44,1721467272.640625,,,,,,,0
10,-42.2,1721467272.65625,,,,,,,0
10,-31.24,1721467272.671875,,,,,,,0
10,-20.98,1721467272.6875,,,,,,,0
10,-11.77,1721467272.703125,,,,,,,0
10,-3.81,1721467272.71875,,,,,,,0
10,2.92,1721467272.734375,,,,,,,0
10,8.6,1721467272.75,,,,,,,0
10,13.46,1721467272.765625,,,,,,,0
10,17.64,1721467272.78125,,,,,,,0
10,21.12,1721467272.796875,,,,,,,0
10,23.71,1721467272.8125,,,,,,,0
10,25.16,1721467272.828125,,,,,,,0
10,25.29,1721467272.84375,,,,,,,0
10,24.11,1721467272.859375,,,,,,,0
10,21.85,1721467272.875,,,,,,,0
10,18.95,1721467272.890625,,,,,,,0
10,15.83,1721467272.90625,,,,,,,0
10,12.88,1721467272.921875,,,,,,,0
10,10.3,1721467272.9375,,,,,,,0
10,8.07,1721467272.953125,,,,,,,0
10,5.98,1721467272.96875,,,,,,,0
10,3.68,1721467272.984375,,,,,,,0
10,0.63,1721467273.0,,,,,,,0
10,-3.68,1721467273.015625,,,,,,,0
10,-9.61,1721467273.03125,,,,,,,0
10,-16.98,1721467273.046875,,,,,,,0
10,-24.83,1721467273.0625,,,,,,,0
10,-31.39,1721467273.078125,,,,,,,0
10,-34.4,1721467273.09375,,,,,,,0
10,-31.75,1721467273.109375,,,,,,,0
10,-22.21,1721467273.125,,,,,,,0
10,-5.84,1721467273.140625,,,,,,,0
10,15.95,1721467273.15625,,,,,,,0
10,40.94,1721467273.171875,,,,,,,0
10,66.67,1721467273.1875,,,,,,,0
10,91.05,1721467273.203125,,,,,,,0
10,112.56,1721467273.21875,,,,,,,0
10,130.23,1721467273.234375,,,,,,,0
10,143.47,1721467273.25,,,,,,,0
10,152.01,1721467273.265625,,,,,,,0
10,155.81,1721467273.28125,,,,,,,0
10,155.29,1721467273.296875,,,,,,,0
10,151.1,1721467273.3125,,,,,,,0
10,144.08,1721467273.328125,,,,,,,0
10,134.99,1721467273.34375,,,,,,,0
10,124.28,1721467273.359375,,,,,,,0
10,112.2,1721467273.375,,,,,,,0
10,98.89,1721467273.390625,,,,,,,0
10,84.72,1721467273.40625,,,,,,,0
10,70.41,1721467273.421875,,,,,,,0
10,56.97,1721467273.4375,,,,,,,0
10,45.46,1721467273.453125,,,,,,,0
10,36.66,1721467273.46875,,,,,,,0
10,30.82,1721467273.484375,,,,,,,0
10,27.59,1721467273.5,,,,,,,0
10,26.14,1721467273.515625,,,,,,,0
10,25.5,1721467273.53125,,,,,,,0
10,24.81,1721467273.546875,,,,,,,0
10,23.54,1721467273.5625,,,,,,,0
10,21.52,1721467273.578125,,,,,,,0
10,18.93,1721467273.59375,,,,,,,0
10,16.09,1721467273.609375,,,,,,,0
10,13.39,1721467273.625,,,,,,,0
10,11.01,1721467273.640625,,,,,,,0
10,8.86,1721467273.65625,,,,,,,0
10,6.51,1721467273.671875,,,,,,,0
10,3.31,1721467273.6875,,,,,,,0
10,-1.38,1721467273.703125,,,,,,,0
10,-7.92,1721467273.71875,,,,,,,0
10,-16.19,1721467273.734375,,,,,,,0
10,-25.58,1721467273.75,,,,,,,0
10,-35.3,1721467273.765625,,,,,,,0
10,-44.62,1721467273.78125,,,,,,,0
10,-53.2,1721467273.796875,,,,,,,0
10,-61.19,1721467273.8125,,,,,,,0
10,-69.12,1721467273.828125,,,,,,,0
10,-77.69,1721467273.84375,,,,,,,0
10,-87.37,1721467273.859375,,,,,,,0
10,-98.05,1721467273.875,,,,,,,0
10,-108.79,1721467273.890625,,,,,,,0
10,-117.81,1721467273.90625,,,,,,,0
10,-122.82,1721467273.921875,,,,,,,0
10,-121.67,1721467273.9375,,,,,,,0
10,-113.09,1721467273.953125,,,,,,,0
10,-97.25,1721467273.96875,,,,,,,0
10,-75.79,1721467273.984375,,,,,,,0
10,-51.32,1721467274.0,,,,,,,0
10,-26.64,1721467274.015625,,,,,,,0
10,-3.96,1721467274.03125,,,,,,,0
10,15.47,1721467274.046875,,,,,,,0
10,31.27,1721467274.0625,,,,,,,0
10,43.53,1721467274.078125,,,,,,,0
10,52.43,1721467274.09375,,,,,,,0
10,58.04,1721467274.109375,,,,,,,0
10,60.47,1721467274.125,,,,,,,0
10,60.03,1721467274.140625,,,,,,,0
10,57.35,1721467274.15625,,,,,,,0
10,53.27,1721467274.171875,,,,,,,0
10,48.62,1721467274.1875,,,,,,,0
10,44.0,1721467274.203125,,,,,,,0
